start,end
146.46,148.86
685.66,689.08
690.56,692.76
878.57,884.25
1127.87,1132.25
1414.57,1428.95
1476.56,1477.95
1479.86,1482.36
1813.07,1817.57
1858.57,1859.56
1862.37,1862.37
1973.56,1980.06
1987.15,1988.75
1989.07,1991.07
2010.16,2013.26
2015.36,2016.26
2871.98,2874.25
2964.25,2972.75
3372.77,3386.15
3831.17,3831.98
4239.75,4241.67
4250.76,4258.46
4276.25,4292.25
4294.96,4356.56
4615.96,4626.66
4628.16,4700.85
4703.98,4710.16
4815.97,4816.47
5112.05,5118.05
5129.67,5129.75
5156.26,5160.87
