start,end
197.76,199.36
884.85,886.67
887.67,893.77
1391.89,1393.45
1394.87,1396.25
1810.07,1812.45
1864.57,1864.75
1867.37,1867.37
1981.17,1986.38
2638.46,2639.25
2649.46,2652.15
2936.06,2954.75
2957.28,2963.46
3026.36,3028.16
3154.36,3155.76
3369.25,3371.25
3408.88,3417.75
4242.25,4249.56
4273.35,4275.67
4742.96,4775.16
