start,end
148.86,154.15
154.55,155.87
157.75,176.56
178.46,184.46
194.96,197.36
689.08,690.46
1106.46,1106.76
1110.39,1127.65
1812.75,1813.87
1861.87,1863.65
1979.86,1980.86
2639.65,2647.36
2872.76,2873.86
2963.88,2964.06
3028.66,3153.86
3386.27,3408.25
4710.16,4742.66
