Start,End,Code
439,471,student-initiated
472,530,student-initiated
545,579,teacher-initiated
580,588,shows understanding
589,614,teacher-initiated
665,689,student-initiated
698,735,teacher-initiated
749,767,student-initiated
768,780,shows understanding
825,862,teacher-initiated
863,874,work together
875,929,student-initiated
931,950,student-initiated
952,1022,teacher-initiated
1047,1087,student-initiated
1088,1100,work together
1104,1125,student-initiated
1173,1226,student-initiated
1287,1295,student-initiated
1296,1300,shows understanding
3141,3149,student-initiated
3150,3160,independent work
3185,3192,teacher-initiated
3217,3229,teacher-initiated
3230,3237,independent work
3238,3262,student-initiated
3263,3275,work together
3306,3328,teacher-initiated
3329,3339,shows understanding
3340,3362,student-initiated
3377,3417,teacher-initiated
3418,3425,shows understanding
3426,3468,student-initiated
3469,3480,independent work
3489,3522,student-initiated
3524,3547,student-initiated
3561,3585,student-initiated
3586,3674,student-initiated
3675,3679,independent work
3680,3732,student-initiated
3734,3771,student-initiated
3774,3819,student-initiated
3820,3824,shows understanding
3825,3835,student-initiated
3836,3844,shows understanding
3845,3887,student-initiated
3888,3895,shows understanding
3908,3942,student-initiated
3943,3977,student-initiated
3979,3990,student-initiated
3992,4041,student-initiated
4042,4050,student-initiated
4451,4523,student-initiated
4539,4562,teacher-initiated
4563,4570,shows understanding
4602,4614,teacher-initiated
4615,4624,independent work
4625,4653,student-initiated
4654,4664,independent work
4677,4761,student-initiated
4762,4770,independent work
4771,4808,student-initiated
4812,4863,student-initiated
4879,4908,student-initiated
4909,4920,independent work
