time,x,y
0.01,425.07,164.97
0.51,425.07,164.97
1.51,425.07,164.97
2.51,425.07,164.97
3.51,425.07,164.97
4.51,425.07,164.97
5.51,425.07,164.97
6.51,425.07,164.97
7.01,426.67,164.97
7.03,429.86,166.65
7.05,433.06,168.32
7.06,437.85,170
7.08,439.45,171.67
7.1,442.65,173.35
7.11,444.25,173.35
7.13,445.84,175.02
7.15,447.44,176.7
7.16,450.64,178.37
7.18,452.24,180.05
7.2,458.63,185.07
7.21,461.82,190.1
7.23,466.62,193.45
7.25,469.81,196.8
7.26,473.01,201.82
7.28,476.21,205.17
7.3,477.8,210.19
7.31,481,211.87
7.33,484.2,215.22
7.35,487.39,216.89
7.36,488.99,218.57
7.38,490.59,220.24
7.4,492.19,221.92
7.41,495.38,223.59
7.43,496.98,225.27
7.45,498.58,226.94
7.46,501.77,230.29
7.48,504.97,235.32
7.5,508.17,240.34
7.51,509.76,245.37
7.53,512.96,250.39
7.55,516.16,253.74
7.56,519.35,257.09
7.58,520.95,258.76
7.6,522.55,260.44
7.61,524.15,263.79
7.65,525.74,265.46
7.66,527.34,267.14
7.68,530.54,268.81
7.7,530.54,270.49
7.71,533.73,270.49
7.73,533.73,273.84
7.75,535.33,275.51
7.76,536.93,278.86
7.78,538.53,282.21
7.8,538.53,287.24
7.81,540.13,290.59
7.83,541.72,295.61
7.85,541.72,298.96
7.86,543.32,302.31
7.88,543.32,303.99
7.9,543.32,305.66
7.91,544.92,307.34
7.93,544.92,309.01
7.95,546.52,310.69
7.96,546.52,312.36
7.98,546.52,315.71
8,548.12,319.06
8.01,549.71,322.41
8.03,551.31,325.76
8.05,552.91,329.11
8.06,552.91,332.46
8.08,554.51,334.13
8.1,556.11,335.81
8.11,556.11,339.16
8.13,556.11,340.83
8.15,556.11,344.18
8.16,556.11,347.53
8.18,556.11,349.21
8.2,556.11,352.56
8.21,556.11,355.91
8.23,556.11,357.58
8.25,556.11,362.61
8.26,556.11,365.96
8.28,556.11,372.65
8.3,556.11,377.68
8.31,556.11,382.7
8.33,556.11,387.73
8.35,556.11,391.08
8.36,554.51,394.43
8.38,554.51,396.1
8.4,552.91,399.45
8.41,552.91,401.13
8.43,551.31,404.48
8.45,551.31,406.15
8.46,551.31,409.5
8.48,551.31,412.85
8.5,549.71,414.53
8.51,549.71,416.2
8.53,549.71,417.88
8.55,548.12,419.55
8.56,548.12,421.23
8.58,546.52,422.9
8.6,546.52,424.58
8.61,546.52,426.25
8.63,544.92,426.25
8.65,544.92,427.92
8.66,544.92,429.6
8.68,544.92,431.27
8.7,544.92,432.95
8.71,544.92,434.62
8.73,543.32,437.97
8.75,543.32,441.32
8.76,543.32,444.67
8.78,543.32,448.02
8.8,541.72,453.05
8.81,541.72,456.4
8.83,541.72,459.75
8.85,541.72,463.1
8.86,540.13,468.12
8.88,540.13,473.15
8.9,540.13,478.17
8.91,540.13,484.87
8.93,540.13,491.57
8.95,540.13,498.27
8.96,538.53,504.97
8.98,538.53,509.99
9,538.53,516.69
9.01,538.53,520.04
9.03,538.53,525.07
9.05,538.53,528.42
9.06,538.53,531.77
9.08,538.53,538.47
9.1,538.53,545.16
9.11,540.13,550.19
9.13,540.13,556.89
9.15,540.13,561.91
9.16,540.13,565.26
9.18,540.13,566.94
9.2,540.13,570.29
9.21,540.13,573.64
9.23,540.13,576.99
9.25,540.13,578.66
9.28,540.13,580.34
9.51,540.13,580.34
9.6,540.13,582.01
9.61,541.72,590.39
9.63,544.92,595.41
9.65,546.52,600.43
9.66,549.71,610.48
9.68,554.51,617.18
9.7,559.3,628.91
9.71,560.9,637.28
9.73,562.5,643.98
9.75,564.1,652.36
9.76,565.69,659.05
9.78,567.29,664.08
9.8,567.29,669.1
9.81,567.29,672.45
9.83,567.29,677.48
9.85,567.29,682.5
9.86,567.29,685.85
9.88,567.29,689.2
9.9,567.29,694.23
9.91,567.29,697.58
9.93,567.29,700.93
9.95,567.29,704.28
9.96,567.29,709.3
9.98,567.29,712.65
10,567.29,716
10.01,567.29,721.02
10.03,567.29,724.37
10.05,567.29,729.4
10.06,567.29,736.1
10.08,565.69,739.45
10.1,564.1,746.15
10.11,564.1,751.17
10.13,562.5,754.52
10.15,562.5,759.55
10.16,560.9,762.9
10.18,560.9,766.25
