time,longitude,latitude,altitude_1,speed_1
1441131160,-86.815321,36.1684328,140,0
1441131165,-86.815321,36.1684328,140,0
1441131170,-86.815321,36.1684328,140,0
1441131175,-86.815321,36.1684328,140,0
1441131180,-86.815321,36.1684328,140,0
1441131185,-86.815321,36.1684328,140,0
1441131190,-86.815321,36.1684328,140,0
1441131195,-86.815321,36.1684328,140,0
1441131200,-86.815321,36.1684328,140,0
1441131205,-86.815321,36.1684328,140,0
1441131210,-86.815321,36.1684328,140,0
1441131215,-86.815321,36.1684328,140,0
1441131220,-86.815321,36.1684328,140,0
1441131225,-86.815321,36.1684328,140,0
1441131230,-86.815321,36.1684328,140,0
1441131235,-86.815321,36.1684328,140,0
1441131240,-86.815321,36.1684328,140,0
1441131245,-86.815321,36.1684328,140,0
1441131250,-86.815321,36.1684328,140,0
1441131255,-86.815321,36.1684328,140,0
1441131260,-86.815321,36.1684328,140,0
1441131265,-86.815321,36.1684328,140,0
1441131270,-86.815321,36.1684328,140,0
1441131275,-86.815321,36.1684328,140,0
1441131280,-86.815321,36.1684328,140,0
1441131285,-86.815321,36.1684328,140,0
1441131290,-86.815321,36.1684328,140,0
1441131295,-86.815321,36.1684328,140,0
1441131300,-86.815321,36.1684328,140,0
1441131305,-86.815321,36.1684328,140,0
1441131310,-86.815321,36.1684328,140,0
1441131315,-86.815321,36.1684328,140,0
1441131320,-86.815321,36.1684328,140,0
1441131325,-86.815321,36.1684328,140,0
1441131330,-86.815321,36.1684328,140,0
1441131335,-86.815321,36.1684328,140,0
1441131340,-86.815321,36.1684328,140,0
1441131345,-86.815321,36.1684328,140,0
1441131350,-86.815321,36.1684328,140,0
1441131355,-86.815321,36.1684328,140,0
1441131360,-86.815321,36.1684328,140,0
1441131365,-86.815321,36.1684328,140,0
1441131370,-86.815321,36.1684328,140,0
1441131375,-86.815321,36.1684328,140,0
1441131380,-86.815321,36.1684328,140,0
1441131385,-86.815321,36.1684328,140,0
1441131390,-86.815321,36.1684328,140,0
1441131395,-86.815321,36.1684328,140,0
1441131400,-86.815321,36.1684328,140,0
1441131405,-86.815321,36.1684328,140,0
1441131410,-86.815321,36.1684328,140,0
1441131415,-86.815321,36.1684328,140,0
1441131420,-86.815321,36.1684328,140,0
1441131425,-86.815321,36.1684328,140,0
1441131430,-86.815321,36.1684328,140,0
1441131435,-86.815321,36.1684328,140,0
1441131440,-86.815321,36.1684328,140,0
1441131445,-86.815321,36.1684328,140,0
1441131450,-86.815321,36.1684328,140,0
1441131455,-86.815321,36.1684328,140,0
1441131460,-86.815321,36.1684328,140,0
1441131465,-86.815321,36.1684328,140,0
1441131470,-86.815321,36.1684328,140,0
1441131475,-86.815321,36.1684328,140,0
1441131480,-86.815321,36.1684328,140,0
1441131485,-86.815321,36.1684328,140,0
1441131490,-86.815321,36.1684328,140,0
1441131495,-86.815321,36.1684328,140,0
1441131500,-86.815321,36.1684328,140,0
1441131505,-86.815321,36.1684328,140,0
1441131510,-86.815321,36.1684328,140,0
1441131515,-86.815321,36.1684328,140,0
1441131520,-86.815321,36.1684328,140,0
1441131525,-86.815321,36.1684328,140,0
1441131530,-86.815321,36.1684328,140,0
1441131535,-86.815321,36.1684328,140,0
1441131540,-86.815321,36.1684328,140,0
1441131545,-86.815321,36.1684328,140,0
1441131550,-86.815321,36.1684328,140,0
1441131555,-86.815321,36.1684328,140,0
1441131560,-86.815321,36.1684328,140,0
1441131565,-86.815321,36.1684328,140,0
1441131570,-86.815321,36.1684328,140,0
1441131575,-86.815321,36.1684328,140,0
1441131580,-86.815321,36.1684328,140,0
1441131585,-86.815321,36.1684328,140,0
1441131590,-86.815321,36.1684328,140,0
1441131595,-86.815321,36.1684328,140,0
1441131600,-86.815321,36.1684328,140,0
1441131605,-86.815321,36.1684328,140,0
1441131610,-86.815321,36.1684328,140,0
1441131615,-86.815321,36.1684328,140,0
