time,speaker,talk
1,Announcer,Brings them to within one!
5,Announcer,They've scored within four seconds there that's how quickly that changes now now it puts the pressure on the Jazz to score once again
12,Announcer,Jordan with FORTY THREE
17,Announcer,Malone is doubled…they swat at it and STEAL IT!
21,Announcer,Here comes Chicago…seventeen seconds
26,Announcer,Seventeen seconds from game seven or from championship number six
31,Announcer,Jordan
33,Announcer,CHICAGO WITH THE LEAD!!!
